,Dataset Name,Full Title,Year,Country,Details,Tasks,Category,N,EEG headset,channels,other modalities,Related Publication,dataset url,license
11,BED,BED: Biometric EEG dataset,2020,Spain / United Kingdom,Multi-session biometric authentication dataset capturing resting and task-evoked EEG.,"Resting state (eyes open/closed), visual evoked potentials, and cognitive tasks",Biometrics,21,EPOC+,14-channel,,"Arnau-Gonzalez, P., Katsigiannis, S., Arevalillo-Herraez, M., & Ramzan, N. (2021). BED: A New Data Set for EEG-Based Biometrics. IEEE Internet of Things Journal, 8(15), 12219-12230.",https://zenodo.org/records/4309472,
12,Musical Drops & Transitions,Neural Correlates of Drops and Classical Music Changes: an EEG Exploration,2020,,Neuro-musicology dataset comparing brain activity during electronic drops versus classical shifts.,Passive music listening (classical versus EDM transitions),Affective Computing,4,EPOC,14-channel,,,https://osf.io/jy7gk/,
13,Phyaat,Phyaat Dataset (Physiology of Auditory Attention),2020,United Kingdom,"Multimodal dataset tracking auditory attention and acoustic workload using EEG, GSR, and PPG.",Dichotic listening and auditory attention tracking under acoustic noise,Sensory Processing,25,EPOC,14-channel,"GSR, PPG","Bajaj, V., et al. (2020). Phyaat Dataset (Physiology of Auditory Attention). Biomedical Signal Processing and Control, 55, 101624.",https://phyaat.github.io/dataset,
14,GAMEEMO,Database for Emotion Recognition System Based on EEG Signals and Various Computer Games - GAMEEMO,2020,Türkiye,Computer games-based EEG signals collected from 28 subjects playing 4 different games.,"Playing 4 different computer games (boring, calm, horror and funny)",Affective Computing,28,EPOC+,14-channel,,"Alakus, T. B., et al. (2020). Database for Emotion Recognition System Based on EEG Signals and Various Computer Games - GAMEEMO. Biomedical Signal Processing and Control, 60, 101951.",https://data.mendeley.com/datasets/b3pn4kwpmn/3,CC-BY-4.0
15,Musical Pleasure Evaluation,Are the new mobile wireless EEG headsets reliable for the evaluation of musical pleasure?,2020,France,This dataset included data from a study that assessed the reliability of two wireless devices (g.tech Nautilus SAHARA electrodes and Emotiv Epoc +) for the detection of musical emotions by comparison with a gold standard EEG device from Electrical Geodesic (EGI).,Music listening / musical pleasure; comparison against other EEG systems,Emotion / Mental State,16,EPOC+,14-channel,,"Chabin, T., Gabriel, D., Haffen, E., Moulin, T., & Pazart, L. (2020). Are the new mobile wireless EEG headsets reliable for the evaluation of musical pleasure?. PLoS One, 15(12), e0244820. doi: 10.1371/journal.pone.0244820
",Figshare – 10.6084/m9.figshare.12936800,CC BY 4.0
16,SSVEP-EPOC BCI,SSVEP-EEG data collection using Emotiv EPOC,2021,Ecuador,BCI benchmark recording steady-state visual evoked potentials across 20 participants.,Steady-state visual evoked potential (SSVEP) visual fixation,Brain-Computer Interface (BCI),20,EPOC,14-channel,,"Asanza, V., Avilés-Mendoza, K., Trivino-Gonzalez, H., Rosales-Uribe, F., Torres-Brunes, J., Loayza, F. R., ... & Tinoco-Egas, R. (2021). Ssvep-eeg signal classification based on emotiv epoc bci and raspberry pi. IFAC-PapersOnLine, 54(15), 388-393.",https://ieee-dataport.org/documents/ssvep-eeg-data-collection-using-emotiv-epoc,CC-BY-4.0
17,SAM 40,"SAM 40: Dataset of 40 Subject EEG Recordings to Monitor the Induced-Stress while performing Stroop Color-Word Test, Arithmetic Task, and Mirror Image Recognition Task",2021,India,"Cognitive stress dataset recording 40 subjects across Stroop, arithmetic, and mirror tasks.","Stroop Color-Word test, mental arithmetic, and mirror image recognition",Cognitive Workload & Stress,40,EPOC Flex Gel,32-channel,,"Ghosh, S., et al. (2022). SAM 40: Dataset of 40 Subject EEG Recordings to Monitor the Induced-Stress while performing Stroop Color-Word Test, Arithmetic Task, and Mirror Image Recognition Task. Data in Brief, 40, 107772.",https://doi.org/10.6084/m9.figshare.14560530.v1,CC-BY-4.0
18,IDD Music & Rest,EEG dataset of individuals with intellectual and developmental disorder and healthy controls while observing rest and music stimuli,2021,India,Clinical recordings comparing individuals with intellectual disabilities to healthy controls.,Resting state and passive music listening,Clinical & Neurological,7,EPOC,14-channel,,"Sareen, E., Singh, L., Varkey, B., Achary, K., & Gupta, A. (2020). EEG dataset of individuals with intellectual and developmental disorder and healthy controls under rest and music stimuli. Data in brief, 30, 105488.",https://data.mendeley.com/datasets/fshy54ypyh,CC-BY-4.0
19,Same-Joint Motor Imagery,Motor imagery EEG data of the same joint,2021,China,Motor imagery dataset identifying neural patterns that discriminate movements of the same joint.,Kinesthetic motor imagery of joint movements,Brain-Computer Interface (BCI),7,EPOC+,14-channel,,"Guan, S., Li, J., Wang, F., Yuan, Z., Kang, X., & Lu, B. (2021). Discriminating three motor imagery states of the same joint for brain-computer interface. PeerJ, 9, e12027.",https://doi.org/10.5281/zenodo.4699203,CC-BY-4.0
20,DICIS EEGFMMI,DICIS EEGFMMI A dataset,2021,Mexico,Motor imagery dataset capturing foot movement imagination for neuroprosthetic actuation.,Motor imagery of foot movements,Brain-Computer Interface (BCI),4,EPOC+,14-channel,,,https://data.mendeley.com/datasets/2sdzh8dgvt,CC-BY-4.0
21,DASPS,DASPS database,2021,Tunisia,Affective state repository capturing physiological reactions to acoustic and visual stimuli.,Affective stimulation (viewing standardized emotionally evocative video clips),Affective Computing,23,EPOC,14-channel,,"Baghdadi, A., Aribi, Y., Fourati, R., Halouani, N., Siarry, P., & Alimi, A. M. (2019). Dasps: A database for anxious states based on a psychological stimulation. arXiv preprint arXiv:1901.02942.",https://ieee-dataport.org/open-access/dasps-database,
22,OASIS EEG,OASIS EEG Dataset: Decoding the Neural Signatures of Valence and Arousal From Portable EEG Headset,2022,India,Affective dataset evaluating neural signatures of valence and arousal from OASIS image stimuli.,Affective image viewing (OASIS image database rating valence/arousal),Affective Computing,15,EPOC,14-channel,,"N. Garg, R. Garg, A. Anand, V. Baths, ""Decoding the Neural Signatures of Valence and Arousal From Portable EEG Headset,"" Frontiers in Human Neuroscience, Nov. 2022. Doi: 10.3389/fnhum.2022.1051463",https://zenodo.org/records/7332684,
23,MindBigData Imagenet,MindBigData Imagenet of the Brain - MNIST of Brain Digits subset,2022,Spain,Massive visual perception dataset matching brain responses to thousands of ImageNet categories.,stimulus of seeing a digit (from 0 to 9) and thinking about it,Sensory Processing,1,EPOC / Insight,14-channel & 5-channel,"Othe EEG devices - Muse, Neurosky Mindwave","Vivancos, D., & Cuesta, F. (2022). MindBigData 2022 a large dataset of brain signals. arXiv preprint arXiv:2212.14746.",http://mindbigdata.com/opendb/index.html,
24,EDAVIS,EEG Dataset Collected During Energy Data Visualization Stimuli Presentation (EDAVIS),2023,United Kingdom,32-channel EEG recorded during visual interpretation of complex energy data charts.,Visual data analysis / chart comprehension of energy graphs,Sensory Processing,28,EPOC Flex,32-channel,,"Kucukler, A., & Malekmohamadi, H. (2023). EEG Dataset Collected During Energy Data Visualization Stimuli Presentation (EDAVIS). Data in Brief, 52, 109933.",https://data.mendeley.com/datasets/w9nk4mvgbb,CC-BY-4.0
25,SignEEG v1.0,SignEEG v1.0 : Multimodal Electroencephalography and Signature Database for Biometric Systems,2023,India,Biometric database synchronizing 5-channel EEG with dynamic handwritten digital signatures.,Genuine and forged handwritten signature signing with concurrent EEG,Biometrics,70,Insight,5-channel,,"Mishra, A. R., Kumar, R., Gupta, V., Prabhu, S., Upadhyay, R., Chhipa, P. C., … Saini, R. (2023). SignEEG v1.0 : Multimodal Electroencephalography and Signature Database for Biometric Systems. bioRxiv. doi:10.1101/2023.09.09.556960",https://zenodo.org/records/8332198,CC-BY-4.0
26,Crowdsourced EEG,Crowdsourced EEG,2023,Remote / Online,Citizen science benchmarking dataset evaluating signal quality recorded remotely by remote participants at their own residence.,Auditory oddball ERP paradigm and resting state,Benchmarking & Methodology,12 EPOC + 14 INSIGHT,EPOC / Insight,14-channel & 5-channel,,"Williams, N. S., King, W., Mackellar, G., Randeniya, R., McCormick, A., & Badcock, N. A. (2023). Crowdsourced EEG experiments: A proof of concept for remote EEG acquisition using EmotivPRO Builder and EmotivLABS. Heliyon, 9(8).",https://osf.io/9bvgh/,
27,Mental Stress Detection,An EEG Recordings Dataset for Mental Stress Detection,2023,India,"Sampling: Unknown. Notes: Open, CC BY 4.0. Don't sum the condition-specific counts as participant N.","Complex maths, Trier challenge, Stroop, horror video, relaxation",Cognitive Load / Stress,20,Insight,5-channel,,,Mendeley Data – 10.17632/wnshbvdxs2.1,CC BY 4.0
28,Kinesthetic Motor Imagery,EEG Kinesthetic motor imagery levels,2024,Mexico,Synchronized EEG and EMG dataset tracking graduated kinesthetic motor imagery force.,Kinesthetic motor imagery at graduated effort levels,Brain-Computer Interface (BCI),10,EPOC,14-channel,EMG,"Martinez-Peon, D., Garcia-Hernandez, N. V., Benavides-Bravo, F. G., & Parra-Vega, V. (2024). Characterization and classification of kinesthetic motor imagery levels. Journal of Neural Engineering, 21(4), 046024.",https://doi.org/10.6084/m9.figshare.25773342.v1,CC-BY-4.0
29,Human-Robot Trust,Benchmark EEG data set for trust assessment for interactions with social robots,2024,Denmark,Human-robot interaction study examining electrophysiological markers of trust in robots.,Interactive decision-making and collaborative game play with a social robot,Affective Computing,21,EPOC+,14-channel,,"Campagna, G & Rehm, M 2024, Trust Assessment with EEG Signals in Social Human-Robot Interaction. in AA Ali, J-J Cabibihan, N Meskin, S Rossi, W Jiang, H He & SS Ge (eds), Proceedings 15th International Conference on Social Robotics (ICSR 2023). Springer, Lecture Notes in Computer Science, pp. 33-42. https://doi.org/10.1007/978-981-99-8715-3_4",https://zenodo.org/records/12754929,CC-BY-4.0
30,Color Congruency Go/No-Go,The-Color-Meaning-Congruency-Go-Nogo-task_EEG_Python_MNE,2024,,Executive function dataset examining response conflict in a Stroop-like Go/No-Go paradigm.,Stroop-like color-meaning congruency Go/No-Go task,Cognitive & Attention,13,EPOC Flex,32-channel,,,https://doi.org/10.6084/m9.figshare.26762419.v1,CC-BY-4.0
31,EEGIS,EEGIS - Electroencephalogram Imagined Speech dataset,2024,Mexico,Speech decoding dataset capturing neural signals during covert mental rehearsal of syllables.,Imagined silent articulation of phonetic vowels and words,Speech & Language,10,EPOC+,14-channel,,"Lara-Arellano, E., Takacs, A., Tovar-Arriaga, S., & Rodríguez-Reséndiz, J. (2025). Feature Generation with Genetic Algorithms for Imagined Speech Electroencephalogram Signal Classification. Eng, 6(4), 75.",https://data.mendeley.com/datasets/73g4fw884c,CC-BY-4.0
32,MIMED,MIMED,2024,Indonesia,Motor imagery corpus recording imagined wrist and hand movements using EPOC X.,Motor imagery (imagined hand grasp and wrist flexion),Brain-Computer Interface (BCI),30,EPOCX,14-channel,,"Wirawan, I. M. A., Maneetham, D., Darmawiguna, I. G. M., Niyomphol, A., Sawetmethikul, P., Crisnapati, P. N., ... & Agustini, N. N. M. (2024). Acquisition and processing of Motor Imagery and Motor Execution Dataset (MIMED) for six movement activities. Data in Brief, 56, 110833.",https://data.mendeley.com/datasets/zs25xxjkm9,CC-BY-4.0
33,InMID,Indonesian Motor Imagery Dataset (InMID),2024,Indonesia,Motor imagery dataset capturing neural activity during directional hand movement imagination.,Motor imagery of directional hand movements,Brain-Computer Interface (BCI),23,EPOC X,14-channel,,"Wirawan, I., Maneetham, D., Darmawiguna, I., Crisnapati, P. N., Thwe, Y., & Agustini, N. N. M. (2012). Inmid: A Dataset of Eeg Signal-Based Motor Imagery in Indonesian Student Participants. Gede Mahendra and Crisnapati, Padma Nyoman and Thwe, Yamin and Agustini, Ni Nyoman Mestri, Inmid: A Dataset of Eeg Signal-Based Motor Imagery in Indonesian Student Participants.",https://data.mendeley.com/datasets/rjx76wd5v6,CC-BY-4.0
34,ArEEG_Words,ArEEG_Words,2024,Syria,Arabic imagined speech corpus recording neural dynamics during covert word vocalization.,Imagined and overt pronunciation of Arabic words,Speech & Language,22,EPOCX,14-channel,,"Darwish, H., Malah, A. A., Jallad, K. A., & Ghneim, N. (2024). ArEEG_Words: Dataset for Envisioned Speech Recognition using EEG for Arabic Words. arXiv preprint arXiv:2411.18888.",https://data.mendeley.com/datasets/7m472ykkx7,CC-BY-4.0
35,EDUS,EDUS - Emotion Dataset on Undiksha Students,2024,Indonesia,Affective dataset recorded from students exposed to emotionally evocative multimedia clips.,Passive multimedia viewing eliciting emotional states,Affective Computing,17,EPOC X,14-channel,,,https://data.mendeley.com/datasets/6cjgr5xthm,CC-BY-4.0
36,LieWaves,LieWaves: dataset for lie detection based on EEG signals and wavelets,2024,Romania,Deception detection dataset measuring cognitive stress responses during mock interrogation.,Mock-crime interrogation and deceptive response questioning,Affective Computing,27,Insight,5-channel,,"Nicolescu, Ș. T., Adochiei, F. C., Argatu, F. C., Enache, B. A., & Serițan, G. C. (2026). Deception detection from five-channel wearable eeg on liewaves: a reproducible baseline for subject-dependent and subject-independent evaluation. Sensors, 26(3), 1027.",https://data.mendeley.com/datasets/5gzxb2bzs2/2,CC-BY-4.0
37,Motion Artifact Contaminated EEG,Motion Artifact Contaminated Multichannel EEG Dataset,2024,Bangaladesh,A single person moved and performed day to day activities,"Total activities were recorded: 1) eye blink, 2) eye brow movement, 3) eye movement, 4) head shaking, 5) head nodding, 6) leg shaking, 7) listening music, 8) relaxed eyes closed, 9) relaxed eyes open, 10) stand up and sit down, 11) talking and 12) walking.",Artifacts / Methodology,1,EPOC,14-channel,motion data,"Ahmed, S. F. B., Amin, M. R., & Islam, M. K. (2024). Motion artifact contaminated multichannel EEG dataset. Data in brief, 57, 110994.",Mendeley Data – 10.17632/42pphfbcdk.2,CC BY 4.0
38,ArEEG_Chars,ArEEG_Chars,2024,Syria,"Sampling: Unknown. Notes: Open, CC BY 4.0. 930 original recordings. Distinct from ArEEG_Words already in your sheet.","Visual imagination of 31 Arabic characters, 10 s/character",BCI / Motor Imagery,30,EPOC X,14-channel,,"Darwish, H., Malah, A. A., Jallad, K. A., & Ghneim, N. (2024). ArEEG_Chars: Dataset for Envisioned Speech Recognition using EEG for Arabic Characters. arXiv preprint arXiv:2402.15733.",Mendeley Data – 10.17632/f2bgr7tdtt.1,CC BY 4.0
39,MI-BMPI,MI-BMPI: Motor Imagery Brain–Mobile Phone Interface Dataset,2024,Türkiye,"Sampling: Unknown. Notes: Public record found, but PID/DOI wasn't reliably recoverable. I would add but flag as metadata verification needed.",Motor imagery corresponding to mobile-phone interface actions,BCI / Motor Imagery,8,EPOC Flex Saline,14-channel,,"Yilmaz, C.M., Yilmaz, B.H. & Kose, C. MI-BMPI motor imagery brain–mobile phone dataset and performance evaluation of voting ensembles utilizing QPDM. Neural Comput & Applic 37, 4679–4696 (2025). https://doi.org/10.1007/s00521-024-10917-5",https://zenodo.org/records/13626922,
40,Flight Simulator Mental Workload,EEG Dataset Collection for Mental Workload Predictions in Flight Simulator,2024,Spain,Dataset of physiological recordings from EEG and ECG devices for testing methods that recognize mental workload across three experiments.,"N-back game (N=16), Heat-the-Chair serious game (N=17), flight simulation(N=2)",Cognitive Workload & Stress,16+17+2,EPOC X,14-channel,ECG,"EEG Dataset Collection for Mental Workload Predictions in Flight Simulator, MDPI Sensors 2024",https://ddd.uab.cat/record/259591,
41,Emotiv-ECOT,Embodied Chain-of-Thought episodes from a human cortex,2025,United States,one person in an EMOTIV EPOC X talking to an agent that reads a one-line brain summary before every reply,Human-agent conversation with live brain-state logging (attention/stress/engagement) as reward signal for embodied-AI/LLM-agent training,Human-Computer Interaction,1,EPOCX,14-channel,,"Zawalski, M., Chen, W., Pertsch, K., Mees, O., Finn, C., & Levine, S. (2024). Robotic control via embodied chain-of-thought reasoning. arXiv preprint arXiv:2407.08693.",https://huggingface.co/datasets/cagataydev/emotiv-ecot,
42,Low-Cost Emotion Benchmarking,EEG Dataset for Emotion Classification Using Low-Cost and High-End Equipment,2025,Spain,Benchmark comparing consumer Emotiv EPOC+ against clinical EEG during emotion induction.,Emotion elicitation (viewing affective film clips),Affective Computing,20,EPOC+,14-channel,,"Sánchez-Reolid, R., Martínez-Sáez, M. C., García-Martínez, B., Fernández-Aguilar, L., Ros, L., Latorre, J. M., & Fernández-Caballero, A. (2022). Emotion classification from EEG with a low-cost BCI versus a high-end equipment. International Journal of Neural Systems, 32(10), 2250041. World Scientific. https://doi.org/10.1142/S0129065722500411",https://zenodo.org/records/14787743,CC-BY-4.0
43,GU Emotion Recognition,EEG Emotion Recognition Dataset_GU,2025,India,Affective computing dataset capturing neural responses to audiovisual emotion clips.,Affective stimulus observation (audiovisual emotional clips),Affective Computing,10,EPOC Flex Gel,32-channel,,,https://doi.org/10.6084/m9.figshare.29170289.v1,CC-BY-4.0
44,REH-MI,REH-MI: EEG Motor Imagery Dataset from the Same Limb for Rehabilitation Applications,2025,,Motor imagery rehabilitation database isolating discrete movements within the same upper limb.,"Single-limb motor imagery (grasping, wrist flexion, elbow movement)",Brain-Computer Interface (BCI),18,EPOC Flex,32-channel,,,https://ieee-dataport.org/documents/eeg-motor-imagery-dataset-same-limb,CC-BY-4.0
45,ScienceDB BCI Pilot,"Raw data 20250513,EEG data.",2025,China,BCI pilot dataset containing electrophysiological trials under motor execution paradigms.,Motor execution and motor imagery trials,Brain-Computer Interface (BCI),2,EPOC+,14-channel,,,https://www.scidb.cn/detail?dataSetId=5f5f1931371f45fab5f544a1702f2d5f,CC-BY-NC-ND-4.0
46,PEM-43,PEM-43 (Prenatal women EEG in Meditation) Dataset,2025,India,32-channel neurophysiological dataset evaluating mindfulness meditation in pregnant women.,Guided mindfulness meditation and resting baseline,Cognitive & Meditation,43,EPOC Flex gel,32-channel,,"Das, D., Deb, N., & Choudhury, S. S. (2025). Tetrahedral feature map for analyzing meditative states in prenatal EEG. Engineering Research Express, 7(2), 025239.",https://doi.org/10.6084/m9.figshare.30663494,CC-BY-4.0
47,VR Motor Imagery,self-collected VR-MI dataset,2025,China,Immersive virtual reality dataset evaluating BCI motor imagery control in 3D environments.,Motor imagery feedback inside immersive virtual reality headset,Brain-Computer Interface (BCI),20,EPOC Flex,32-channel,,,https://ieee-dataport.org/documents/self-collected-vr-mi-dataset,CC-BY-4.0
48,EmoX,EmoX,2025,China,Emotion recognition dataset capturing neural responses to validated audiovisual clips.,Affective video viewing eliciting four quadrants of emotion,Affective Computing,10,EPOC X,14-channel,,,https://ieee-dataport.org/documents/emox,CC-BY-4.0
49,Visually Imagined Arabic Alphabet,Electroencephalogram Dataset of Visually Imagined Arabic Alphabet for BCI Design and Evaluation,2025,,Visual imagination of arabic characters,Visual imagination of 28 Arabic letters; 10 trials each,Visual Imagery,30,EPOC X,14-channel,,"Alazrai, R., Naqi, K., Elkouni, A., Hamza, A., Hammam, F., Qaadan, S., ... & Al-Nashash, H. (2025). Electroencephalogram dataset of visually imagined arabic alphabet for brain–computer interface design and evaluation. Data, 10(6), 81.",https://figshare.com/s/c287b37708b31ce663f7,Private/Controlled
50,Depression Screening (PHQ-9),Multi-channel Wireless EEG Recordings of Young Adults for Depression Screening based on PHQ-9,2025,,"Sampling: 128 Hz. Notes: Open, CC BY 4.0. MATLAB; 18 high-PHQ-9 and 13 low-PHQ-9 participants.",5-min EEG + PHQ-9 depression screening,Clinical / Mental Health,31,EPOC+,14-channel,,"Sakib, N., Islam, M.K., & Faruk, T. (2023). Machine Learning Model for Computer-Aided Depression Screening among Young Adults Using Wireless EEG Headset. Computational and Mathematical Methods in Medicine, 2023, 1701429. ",Mendeley Data – 10.17632/ct5vrc4k2t.1,CC BY 4.0
51,NeuroOM,NeuroOM,2025,India,"Sampling: Unknown. Notes: Open, CC BY 4.0. 132 EDF files: raw + standardized + preprocessed.",Musical vs non-musical OM listening,Auditory / Music,22,Insight,5-channel,,,Mendeley Data – 10.17632/8jpxn4fr3x.2,CC BY 4.0
52,MC32C-EEG (Mantra Chanting),Mantra Chanting 32-Channel EEG Dataset (MC32C-EEG),2025,India,"Sampling: 128 Hz. Notes: Open, CC BY 4.0. Raw + artifact-cleaned .mat data.",2-min eyes-closed rest + 3-min eyes-closed OM chanting,Meditation / Relaxation,11,EPOC Flex,32-channel,,"Bayan, T., & Deb, N. (2025). Descriptor: Mantra chanting 32-channel EEG dataset (MC32C-EEG). IEEE Data Descriptions.",https://doi.org/10.6084/m9.figshare.29189792,CC BY 4.0
53,EEGEmotions-27,EEGEmotions-27: A Large-Scale EEG Dataset Annotated With 27 Fine-Grained Emotion Labels,2025,South Korea,A dataset of raw EEG recordings collected during affective elicitation experiments containing data from 88 participants as they experienced 27 distinct emotional states while watching emotionally evocative video clips.,Emotion elicitation (watching emotionally evocative video clips),Affective Computing,88,EPOC X,14-channel,,"Phuong, H.T., Im, E.T., Oh, M.S., & Gim, G.Y. (2025). EEGEmotions-27: A Large-Scale EEG Dataset Annotated With 27 Fine-Grained Emotion Labels. IEEE Access, 13, 176915-176932.",https://github.com/huytungst/EEGEmotions-27,
54,Pizza-Topping Categorization,Pizza-topping meat/vegetarian word categorization with consumer EEG (EMOTIV EPOC X),2026,Remote/Online,Semantic word categorization study evaluating ERPs to meat versus vegetarian concepts.,Visual word categorization / semantic decision (meat vs. vegetarian),Cognitive & Language,30,EPOC X,14-channel,,,https://openneuro.org/datasets/ds008099,CC0-1.0
55,Insight Motor Imagery,Motor Imagery Dataset Using Emotiv Insight Device,2026,Thailand,Motor imagery dataset tracking imagined hand and foot movements using a 5-channel headset.,Motor imagery (imagined hand and foot movements),Brain-Computer Interface (BCI),53,Insight,5-channel,,,https://ieee-dataport.org/documents/motor-imagery-dataset-using-emotiv-insight-device,CC-BY-4.0
56,Down Syndrome Go/No-Go,EEG and Behavioral Performance During a Go/No-Go Task in Adults with Down Syndrome: Sports vs. Performing Arts,2026,Uruguay,Inhibitory control study comparing Down syndrome adults in sports versus performing arts.,Go/No-Go inhibitory control task,Clinical & Neurological,24,EPOC+,14-channel,,"Oliver-Rostán, M., García, R., Núñez-Tomassini, M., Pla-Gadea, M., Hernández-García, F., & Meléndez-Gallardo, J. (2026). Preliminary evidence of enhanced motor inhibition and Delta-band functional network integration in athletes with Down syndrome. Sport Sciences for Health, 22(3), 201.",https://doi.org/10.6084/m9.figshare.31964610.v1,CC-BY-4.0
57,Driver Distraction Detection,"Personalized Driver Distraction Detection: Preprocessed Multimodal Physiological Signals (EEG, GSR, HR) from Simulated Driving Experiment",2026,India,Multimodal physiological dataset monitoring cognitive driver distraction in driving simulations.,Simulated driving with secondary distraction tasks,Cognitive Workload & Stress,50,EPOC+,14-channel,"GSR, HR","Pisharody, D. M., Chacko, B. P., & Basheer, K. M. (2022). Driver distraction detection using machine learning techniques. Materials Today: Proceedings, 58, 251-255.",https://zenodo.org/records/20233645,CC-BY-4.0
